<DTYYYYMMDD>,<SIGNAL>,<OPEN>,<FACTOR>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<FEE>,<FINALPRICE>
20000121,1,420,,420,417,417,2639,92.16,324.84
20000124,1,415,,415.5,408.5,408.5,816,90.28,318.22
20000125,1,400,,410,397,400,6407,88.4,311.6
20000126,1,400,,405,399,399,4504,88.18,310.82
20000127,1,402,,403,400,403,1876,89.06,313.94
20000128,1,402.5,,402.5,395,401,1995,88.62,312.38
20000131,1,399,,400,390,400,823,88.4,311.6
20000201,1,399,,400,395,398,7326,87.96,310.04
20000202,1,400,,400,380,393.5,1729,86.96,306.54
20000203,-1,400,,419,399.5,419,5296,100.14,519.14
20000204,-1,425,,435,410,420,2604,100.38,520.38
20000207,-1,418,,418,411,413,838,98.71,511.71
20000208,-1,401,,414,401,410,6916,97.99,507.99
20000209,1,405,,410,400.5,403,6772,89.06,313.94
20000210,1,399,,401,395,396,3043,87.52,308.48
20000211,1,400,,400,381,390,1821,86.19,303.81
20000214,1,391,,391,390,391,1991,86.41,304.59
20000215,1,395,,396,390,394,4729,87.07,306.93
20000216,1,395,,395,390,394,3864,87.07,306.93
20000217,-1,390.5,,405,390.5,405,2383,96.8,501.8
20000218,1,395.5,,400,392,395,4539,87.3,307.71
20000221,1,374,,375,373,373,6859,82.43,290.57
20000222,1,380,,390,377,385,4821,85.09,299.92
20000223,1,342,,385,342,375,11333,82.88,292.13
20000224,1,370,,370,365,367,1841,81.11,285.89
20000225,1,360,,378,355.5,368,1437,81.33,286.67
20000228,1,364,,364,349,360,3329,79.56,280.44
20000229,1,360,,364,358,364,1082,80.44,283.56
20000301,1,360.5,,364,355,360,4009,79.56,280.44
20000302,1,360.5,,360.5,346.5,348,5981,76.91,271.09
20000303,1,355,,356.5,354.5,355,1444,78.46,276.55
20000306,1,359,,359,356.5,358.5,1096,79.23,279.27
20000307,1,352,,355,352,355,2771,78.46,276.55
20000308,-1,354.5,,371,354.5,367,1869,87.71,454.71
20000309,-1,365,,376,365,374,2460,89.39,463.39
20000310,-1,378,,384.5,375,378,2449,90.34,468.34
20000313,1,375,,375,357.5,357.5,1439,79.01,278.49
20000314,1,356,,361,355,356,3078,78.68,277.32
20000315,1,354,,361,354,357,1985,78.9,278.1
20000316,1,361,,361,350,360,540,79.56,280.44
20000317,1,363,,363,359,359,1542,79.34,279.66
20000320,-1,360,,362,360,362,1045,86.52,448.52
20000321,1,353,,359,350,358,1602,79.12,278.88
20000322,1,361,,361,350,357.5,3274,79.01,278.49
20000323,1,358,,358,356,357,682,78.9,278.1
20000324,-1,361,,365,357,363,4336,86.76,449.76
20000327,-1,368,,368,365,365,1564,87.24,452.24
20000328,-1,368,,379,368,376,3307,89.86,465.86
20000329,-1,375,,375,374,375,1314,89.63,464.63
20000330,1,372,,372,361,365,1195,80.67,284.34
20000331,-1,362,,368,362,368,475,87.95,455.95
20000403,1,368,,368,361,366,895,80.89,285.11
20000404,1,361,,361,361,361,1423,79.78,281.22
20000405,1,360,,360,352,355,538,78.46,276.55
20000406,1,364.5,,365,360,363,381,80.22,282.78
20000407,1,364.5,,365,360,360,548,79.56,280.44
20000410,-1,364.5,,375,356.5,375,3579,89.63,464.63
20000411,-1,375,,390,375,380,3540,90.82,470.82
20000412,-1,380,,380,374,375,652,89.63,464.63
20000413,-1,370,,371,370,370,292,88.43,458.43
20000414,1,364,,368.5,363.5,363.5,272,80.33,283.17
20000417,1,328,,343,328,335,1959,74.04,260.97
20000418,1,360.5,,361,350,360,1280,79.56,280.44
20000419,1,360,,360,350.5,350.5,1239,77.46,273.04
20000420,1,350,,350,343,344,3416,76.02,267.98
20000425,1,337,,340,335,340,1919,75.14,264.86
20000426,1,337,,340,335,335,1954,74.04,260.97
20000427,1,335,,339,334.5,339,3387,74.92,264.08
20000428,1,335,,337.5,335,335,3323,74.04,260.97
20000504,1,335,,336,333,335,756,74.04,260.97
20000505,1,335,,336,335,336,311,74.26,261.74
20000508,1,334,,334,325,330,1783,72.93,257.07
20000509,1,326,,326,326,326,172,72.05,253.95
20000510,1,326,,330,325,330,1086,72.93,257.07
20000511,1,325,,329,320,327,2607,72.27,254.73
20000512,1,326,,327,320,323,845,71.38,251.62
20000515,1,326,,326,319,325,738,71.83,253.18
20000516,1,325,,325,324,325,1156,71.83,253.18
20000517,1,330,,330,328,328,452,72.49,255.51
20000518,1,320,,321,317.5,320,1535,70.72,249.28
20000519,1,317,,317,309.5,310,1229,68.51,241.49
20000522,1,305,,305,294,300,1256,66.3,233.7
20000523,1,300,,300,297,300,1250,66.3,233.7
20000524,1,280,,280,273.5,279,2485,61.66,217.34
20000525,1,280,,280,276,278,1663,61.44,216.56
20000526,1,270,,278,270,275,1833,60.78,214.23
20000529,1,275,,284,275,284,622,62.76,221.24
20000530,1,300,,300,286,290,921,64.09,225.91
20000531,-1,330,,330,307,318,7246,76,394
20000601,-1,315,,315,308,313.5,1259,74.93,388.43
20000602,-1,310,,310,300,303,1545,72.42,375.42
20000605,-1,305,,310,303,303,865,72.42,375.42
20000606,1,300,,300,292,292,585,64.53,227.47
20000607,-1,289,,305,289,305,564,72.9,377.9
20000608,-1,305,,305,302,302,559,72.18,374.18
20000609,1,298,,303,297,297,335,65.64,231.36
20000612,1,299,,299,294,294,542,64.97,229.03
20000613,1,295,,300,292,295,275,65.2,229.81
20000614,-1,300,,300,300,300,187,71.7,371.7
20000615,-1,302,,302,297,301,155,71.94,372.94
20000616,-1,300,,305,300,302,439,72.18,374.18
20000619,1,298,,298,298,298,432,65.86,232.14
20000620,1,295,,300,295,299,161,66.08,232.92
20000621,-1,300,,306,300,306,419,73.13,379.13
20000623,-1,303,,305,303,303,200,72.42,375.42
20000626,-1,305,,308,301,303,600,72.42,375.42
20000627,1,303,,303,301,301,1586,66.52,234.48
20000628,1,301,,301,301,301,1503,66.52,234.48
20000629,1,300,,300,299.5,299.5,490,66.19,233.31
20000630,-1,299,,305,299,303.5,524,72.54,376.04
20000703,1,295.5,,295.5,295.5,295.5,416,65.31,230.19
20000704,-1,307,,307,304,305,163,72.9,377.9
20000705,-1,307,,318,307,317,759,75.76,392.76
20000706,-1,320,,330,319,320,4271,76.48,396.48
20000707,-1,320,,322,315,322,2403,76.96,398.96
20000710,-1,327,,341,327,340,987,81.26,421.26
20000711,-1,340,,341,331.5,336,1417,80.3,416.3
20000712,-1,336,,341,336,340,482,81.26,421.26
20000713,-1,338,,340,335,338,492,80.78,418.78
20000714,-1,338,,338,328,331,407,79.11,410.11
20000717,-1,335,,335,330,330,2565,78.87,408.87
20000718,1,331,,331,326,326,1942,72.05,253.95
20000719,1,331,,331,326,326,1225,72.05,253.95
20000720,1,330,,330,320,326,474,72.05,253.95
20000721,-1,326,,329.5,326,329,1157,78.63,407.63
20000724,-1,340,,350,332,347,5590,82.93,429.93
20000725,-1,346,,346,344,344,621,82.22,426.22
20000726,-1,345.5,,345.5,335,335,1883,80.07,415.07
20000727,1,329,,330,329,330,2611,72.93,257.07
20000728,1,325,,330,325,330,1064,72.93,257.07
20000731,1,326,,326,325,326,2450,72.05,253.95
20000801,1,327,,327,327,327,971,72.27,254.73
20000802,-1,330,,330.5,330,330.5,267,78.99,409.49
20000803,-1,343,,343,330,340,955,81.26,421.26
20000804,-1,340,,340,332,336,781,80.3,416.3
20000807,1,330,,335,330,332,257,73.37,258.63
20000808,1,330,,330,324,324,185,71.6,252.4
20000809,1,325,,330,325,330,201,72.93,257.07
20000810,1,325,,325,325,325,308,71.83,253.18
20000811,1,321,,321,321,321,532,70.94,250.06
20000814,1,320,,320,320,320,459,70.72,249.28
20000816,1,320,,320,320,320,670,70.72,249.28
20000817,1,319,,319,314,314,399,69.39,244.61
20000818,1,315,,315,310,310,564,68.51,241.49
20000821,1,311,,311,311,311,218,68.73,242.27
20000822,1,314,,314,314,314,1203,69.39,244.61
20000823,1,311,,311,311,311,5160,68.73,242.27
